322.18,1354.3,1
488.31,1535.9,1
365.37,1499,1
853.91,2324.2,1
344.21,1048.4,1
344.67,965.16,1
379.08,2488,1
346.77,648.93,1
261.91,2385.9,1
500.26,911.1,1
356.67,884.62,1
591.91,1097.2,1
351.13,1080.7,1
427.38,1006.4,1
500,1500,1
365.37,1499,1
351.13,1080.7,1
345.57,1163.6,1
482.46,1145.5,1
441.1,1026.7,1
337.07,854.32,1
500,1500,1
362.27,1003.1,1
333.07,1178,1
461.05,2300.3,1
320.92,1084.1,1
535.08,861.13,1
371.46,820.96,1
440.43,984,1
451.16,887.32,1
311.28,1292.5,1
528.36,1155.1,1
515.68,1121.4,1
373.64,1127.8,1
325.52,1622.5,1
370.68,1081.4,1
353.34,1047.8,1
325.52,1622.5,1
500,1500,1
339.97,876.07,1
361.65,1030.7,1
398.31,1131.6,1
330.64,1041,1
318.7,1161.1,1
527.43,1165.4,1
301.05,1673.8,1
287.03,749.11,1
899.59,2629.4,1
325.93,1415.4,1
337.07,1687.4,1
384.2,1119.1,1
500,1500,1
385.63,1157.8,1
363.22,794.98,1
931.9,1959.2,1
597.83,1474.1,1
519.01,1528.3,1
468.49,1149.3,1
931.9,1959.2,1
322.74,810.9,1
377.92,976.8,1
336.67,1165.7,1
328.68,894.68,1
336.16,1076.8,1
367.69,1247.2,1
500,1500,1
501.25,893.52,1
1037.9,2350.4,1
374.22,1127,1
458.87,1181,1
361.38,1045.4,1
344.65,952.61,1
303.62,2317.1,1
362.25,1407.2,1
326.55,1031.1,1
300.84,818.04,1
500,1500,1
343.35,1047.1,1
360.11,809.13,1
530.97,1489.7,1
716.29,1380.7,1
313.49,774.08,1
880.36,2493.1,1
349.29,830.01,1
596.97,1501.4,1
354.08,1053.5,1
346.31,953.26,1
495.96,1110.2,1
421.76,877.19,1
319.31,1060.5,1
354.38,930.82,1
163.85,1208.9,1
500,1500,1
335.09,1181.1,1
361.77,901.02,1
360.54,884.95,1
368.74,1090,1
